category,company,funds_against,funds_else,funds_for,id,link,outcome,proposal,year
env,Kyushu Electric Power . .,"[409, 106, 107, 116, 107]",[],[],34,,-,Amend Articles to Ban Use of Global Warming as a Justification for Nuclear Investment,2009
env,Lennar,"[275, 11, 308, 97]",[],"[278, 274, 337, 339, 344, 346]",35,,-,Adopt Quantitative GHG (Greenhouse Gas) (Greenhouse Gas) (Greenhouse Gas) Goals for Products and Operations,2009
env,Massey Energy,"[11, 308, 282, 336, 270, 274, 338, 394, 21, 221, 343, 344, 343, 348, 97]",[],[],36,,-,Report on Implementation of EPA Settlement Reforms and CSR Commitments,2009
env,McDonald's,[],"[391, 404, 395, 232, 317, 293, 314]",[],37,http://www.sec.gov/Archives/edgar/data/63908/000119312509081437/ddef14a.htm,4.91,Shareholder proposal relating to the use of cage-free eggs.,2009
env,Meredith,"[274, 11, 308, 97]",[],[118],38,,-,Report on Sustainable Paper Purchasing,2009
env,Mirant,[],"[404, 395, 232, 390]",[],39,,-,Stockholder proposal regarding report on global warming,2009
env,Occidental Petroleum,"[284, 268, 273, 269, 277, 283, 274, 267, 222, 316, 99, 331, 16, 294, 312, 276, 341, 275, 344, 343, 14, 13, 11, 15, 306, 305, 303, 308, 330, 327, 97]",[],[113],40,http://www.sec.gov/Archives/edgar/data/797468/000079746809000019/def14a-2009.htm,6.21,Report on Host Country Social and Environmental Laws,2009
env,Sandisk,"[274, 341, 11, 308, 97]",[],[],41,,-,Prepare Sustainability Report,2009
env,Standard Pacific,[],[395],[],42,,-,A stockholder proposal regarding the adoption of quantitative goals to reduce greenhouse gas emissions.,2009
env,Texas Industries,[],"[337, 346, 395, 395, 288, 288]","[337, 346]",43,,-,a sustainability report if such proposal is properly presented at the meeting,2009
env,The DOW Chemical,"[327, 97]","[391, 404, 395, 232, 309, 317, 314]",[],44,http://www.sec.gov/Archives/edgar/data/29915/000104746909003530/a2191412zdef14a.htm,28.68,Stockholder proposal on environmental remediation in the midland area,2009
env,The Ryland Group,[326],[],[],45,,-,Adopt Quantitative GHG (Greenhouse Gas) (Greenhouse Gas) (Greenhouse Gas) Goals for Products and Operations,2009
env,Ultra Petroleum,"[272, 395, 390, 293]",[],[],46,,-,"If presented, to consider and vote upon a shareholder proposal regarding climate change which is opposed by the board of directors.",2009
env,Ultra Petroleum,[],[],"[118, 336, 340, 344]",47,,-,Shareholder Proposal: Prepare Report on Climate Change,2009
env,YUM! Brands,"[283, 274, 16, 341, 11, 308, 327, 97]",[],[],48,http://www.sec.gov/Archives/edgar/data/1041061/000104746909003956/a2191762zdef14a.htm,6.14,Report on Animal Welfare Policies,2009
env,YUM! Brands,"[11, 308, 283, 274, 16, 341, 327, 97]",[],[],49,http://www.sec.gov/Archives/edgar/data/1041061/000104746909003956/a2191762zdef14a.htm,0.0,Report on Sustainability and Food Safety in the Supply Chain,2009
env,YUM! Brands,[],"[391, 404, 395]",[],50,http://www.sec.gov/Archives/edgar/data/1041061/000104746909003956/a2191762zdef14a.htm,6.14,Shareholder proposal relating to animal welfare (page 33 of proxy),2009
env,YUM! Brands,[],"[391, 404, 395]",[],51,http://www.sec.gov/Archives/edgar/data/1041061/000104746909003956/a2191762zdef14a.htm,0.0,Shareholder proposal relating to food supply chain security and sustainability (page 27 of proxy),2009
env,Apple,"[284, 268, 273, 273, 269, 278, 267, 274, 267, 222, 99, 331, 394, 16, 341, 341, 276, 275, 344, 348, 330, 325, 327, 97, 32, 32, 36, 45, 46, 38, 43]",[],"[113, 323]",52,http://www.sec.gov/Archives/edgar/data/320193/000119312510005145/ddef14a.htm,8.61,Prepare Sustainability Report,2010
env,Aqua America,"[402, 279, 392]","[160, 36, 45, 47, 48, 50]",[],53,,-,Prepare Sustainability Report,2010
env,BJ Wholesale Club,"[278, 340, 346]","[48, 50, 37, 37]",[],54,,-,Purchase Poultry from Suppliers Using CAK (Controlled Atmosphere Killing) (Controlled Atmosphere Killing) (Controlled Atmosphere Killing),2010
env,Boston Properties,[274],"[97, 172, 36, 45, 47, 39, 321]","[118, 113]",55,,-,Prepare a Sustainability Report,2010
env,Bristol-Myers Squibb,"[284, 281, 269, 278, 295, 274, 222, 224, 226, 316, 331, 16, 349, 294, 341, 113, 344]","[18, 391, 404, 395, 232, 333, 317, 314, 327, 97, 29, 29, 36, 45, 47]",[323],56,http://www.sec.gov/Archives/edgar/data/14272/000119312510063270/ddef14a.htm,5.06,Report and Set Goals Related to Animal Use and Testing,2010
env,Buffalo Wild Wings,[],"[37, 52]",[],57,,-,Require Suppliers to Adopt CAK (Controlled Atmosphere Killing) (Controlled Atmosphere Killing) (Controlled Atmosphere Killing),2010
env,C. R. Bard,"[274, 340, 349]","[97, 29, 29, 36, 45, 46]",[],58,,-,Prepare Sustainability Report,2010
env,Cabot Oil & GAS,"[402, 278, 279, 274, 340, 312, 392]","[97, 27, 27, 36, 45, 46, 48, 49, 57]",[],59,,-,Report on Environmental Impacts of Natural Gas Fracturing,2010
env,Chesapeake Energy,"[284, 269, 274, 222, 331, 343, 344]","[327, 323, 97, 27, 27, 36, 45, 46, 57]","[118, 113]",60,http://www.sec.gov/Archives/edgar/data/895126/000119312510101745/ddef14a.htm,24.2,Prepare Sustainability Report,2010
env,Chesapeake Energy,"[284, 269, 274, 222, 331, 343, 344]","[327, 323, 97, 27, 27, 36, 45, 46, 57]","[118, 113]",61,http://www.sec.gov/Archives/edgar/data/895126/000119312510101745/ddef14a.htm,19.4,Report on Environmental Impacts of Natural Gas Fracturing,2010
env,Chevron,"[284, 268, 273, 281, 269, 277, 278, 274, 267, 222, 224, 226, 316, 99, 331, 16, 341, 312, 275, 344]","[18, 391, 404, 395, 333, 17, 317, 314, 95, 330, 325, 327, 97, 27, 27, 36, 45, 47, 38, 57]","[113, 323]",62,http://www.sec.gov/Archives/edgar/data/93410/000119312510084081/ddef14a.htm,8.6,Report on Financial Risks From Climate Change,2010
env,Chevron,"[284, 268, 273, 281, 269, 277, 278, 274, 267, 222, 224, 226, 316, 99, 331, 16, 341, 312, 275, 344, 330, 325, 327, 27, 27, 36, 45, 47, 38, 57, 97]",[],"[113, 323]",63,http://www.sec.gov/Archives/edgar/data/93410/000119312510084081/ddef14a.htm,26.8,Request Director Nominee with Environmental Qualifications,2010
env,CMS Energy,[],"[327, 97, 33, 160, 33, 36, 45, 47, 48, 50]","[284, 268, 279, 269, 277, 274, 222, 331, 345, 340, 275, 344, 392]",64,,-,Adopt Quantitative GHG (Greenhouse Gas) (Greenhouse Gas) (Greenhouse Gas) Goals for Products and Operations,2010
env,CMS Energy,[],"[327, 97, 33, 160, 33, 36, 45, 47, 48, 50]","[284, 268, 279, 269, 277, 274, 222, 331, 345, 340, 275, 344, 392]",65,,-,Report on Coal Combustion Waste Hazard and Risk Mitigation Efforts,2010
env,Coach,"[274, 118, 113, 97, 25, 25, 36, 45, 46]",[],[323],66,,-,Report on Ending Use of Animal Fur in Products,2010
env,Conocophillips,"[284, 268, 273, 269, 277, 278, 274, 267, 222, 316, 99, 331, 16, 341, 312, 275, 344]","[327, 97, 27, 27, 36, 45, 47, 38, 57]","[113, 323]",67,http://www.sec.gov/Archives/edgar/data/1163165/000119312510071813/ddef14a.htm,21.46,Adopt Goals to Reduce Emission of TRI Chemicals,2010
env,Conocophillips,"[284, 268, 273, 269, 277, 278, 274, 267, 222, 316, 99, 331, 16, 341, 312, 275, 344]","[327, 97, 27, 27, 36, 45, 47, 38, 57]","[113, 323]",68,http://www.sec.gov/Archives/edgar/data/1163165/000119312510071813/ddef14a.htm,5.57,Adopt Policy to Address Coastal Louisiana Environmental Impacts,2010
env,Conocophillips,"[284, 268, 273, 269, 277, 278, 274, 267, 222, 316, 99, 331, 16, 341, 312, 113, 275, 344]","[327, 97, 27, 27, 36, 45, 47, 38, 57]",[323],69,http://www.sec.gov/Archives/edgar/data/1163165/000119312510071813/ddef14a.htm,21.46,Adopt Quantitative GHG (Greenhouse Gas) (Greenhouse Gas) (Greenhouse Gas) Goals for Products and Operations,2010
env,Conocophillips,"[284, 268, 273, 269, 277, 278, 274, 267, 222, 316, 99, 331, 16, 341, 312, 275, 344]","[327, 97, 27, 27, 36, 45, 47, 38, 57]","[113, 323]",70,http://www.sec.gov/Archives/edgar/data/1163165/000119312510071813/ddef14a.htm,22.49,Report on Environmental Impact of Oil Sands Operations in Canada,2010
env,Conocophillips,"[284, 268, 273, 269, 277, 278, 274, 267, 222, 316, 99, 331, 16, 341, 312, 275, 344]","[18, 391, 404, 395, 232, 333, 17, 317, 95, 327, 97, 27, 27, 36, 45, 47, 38, 57]","[113, 323]",71,http://www.sec.gov/Archives/edgar/data/1163165/000119312510071813/ddef14a.htm,6.22,Report on Financial Risks of Climate Change,2010
env,CVS Caremark,"[284, 269, 274, 222, 331]","[18, 391, 404, 395, 232, 333, 293, 95, 327, 97, 26, 26, 36, 45, 46, 59]","[118, 113, 323]",72,,-,Stockholder proposal regarding principles to stop global warming.,2010
env,Devry,"[274, 338, 21, 118, 344, 97, 25, 25, 36, 45, 46]",[],[],73,,-,Adopt Policy Prohibiting Medically Unnecessary Veterinary Training Surgeries,2010
env,Dominion Resources,"[279, 281, 278, 274, 224, 226, 316, 16, 341, 392]","[97, 33, 160, 33, 36, 45, 47]",[323],74,,-,Adopt Renewable Energy Production Goal,2010
env,Dominion Resources,"[279, 281, 278, 274, 224, 226, 316, 16, 341, 392]","[97, 33, 160, 33, 36, 45, 47]",[323],75,,-,Stop Construction of Nuclear Reactor at North Anna Facility,2010
env,DOW Chemical Company,"[284, 269, 274, 222, 224, 226, 316, 331, 344]",[],[113],76,,-,Report on Environmental Remediation in Midland Area,2010
env,Dynegy,[],"[45, 47, 48, 50]",[],77,,-,Adopt Quantitative GHG (Greenhouse Gas) (Greenhouse Gas) (Greenhouse Gas) Goals for Products and Operations,2010
env,EOG Resources,"[273, 279, 267, 274, 394, 312, 343, 344, 343, 392, 348]","[97, 27, 27, 36, 45, 46, 57]","[118, 113, 323]",78,http://www.sec.gov/Archives/edgar/data/821189/000095012310028267/h70240def14a.htm,25.14,Report on Environmental Impacts of Natural Gas Fracturing,2010
env,EQT,"[279, 274, 224, 226, 316, 345, 312, 343, 344, 343, 392]","[97, 33, 160, 33, 45, 46]",[118],79,,-,Prepare Sustainability Report,2010
env,Exxon Mobil,"[284, 268, 273, 281, 269, 277, 278, 274, 267, 222, 316, 99, 331, 16, 294, 341, 312, 350, 275, 344]","[330, 325, 327, 323, 97, 27, 27, 36, 45, 47, 38, 44, 57]",[113],80,http://www.sec.gov/Archives/edgar/data/34088/000119312510082074/ddef14a.htm,26.4,Adopt Policy to Address Coastal Louisiana Environmental Impacts,2010
env,Exxon Mobil,"[284, 268, 273, 281, 269, 277, 278, 274, 267, 222, 316, 99, 331, 16, 294, 341, 312, 350, 113, 275, 344, 284, 268, 273, 281, 269, 277, 278, 274, 267, 222, 316, 99, 331, 16, 294, 341, 312, 350, 275, 344]","[330, 325, 327, 323, 97, 27, 27, 36, 45, 47, 44, 57, 330, 325, 327, 323, 97, 27, 27, 36, 45, 47, 44, 57, 38]",[113],81,http://www.sec.gov/Archives/edgar/data/34088/000119312510082074/ddef14a.htm,27.2,Report on Energy Technologies Development 12 Adopt Quantitative GHG (Greenhouse Gas) (Greenhouse Gas) (Greenhouse Gas) Goals from Products and Share Holder Against Abstain Operations,2010
env,Exxon Mobil,"[284, 268, 273, 281, 269, 277, 278, 274, 267, 222, 316, 99, 331, 16, 294, 341, 312, 350, 275, 344]","[330, 325, 327, 323, 97, 27, 27, 36, 45, 47, 38, 44, 57]",[113],82,http://www.sec.gov/Archives/edgar/data/34088/000119312510082074/ddef14a.htm,26.4,Report on Environmental Impact of Oil Sands Operations in Canada,2010
env,Exxon Mobil,"[284, 268, 273, 281, 269, 277, 278, 274, 267, 222, 316, 99, 331, 16, 294, 341, 312, 350, 275, 344]","[330, 325, 327, 323, 97, 27, 27, 36, 45, 47, 38, 44, 57]",[113],83,http://www.sec.gov/Archives/edgar/data/34088/000119312510082074/ddef14a.htm,26.3,Report on Environmental Impacts of Natural Gas Fracturing,2010
env,Exxon Mobil,"[284, 268, 273, 281, 269, 277, 278, 274, 267, 222, 316, 99, 331, 16, 294, 341, 312, 350, 275, 344]","[330, 325, 327, 323, 97, 27, 27, 36, 45, 47, 38, 44, 57]",[113],84,http://www.sec.gov/Archives/edgar/data/34088/000119312510082074/ddef14a.htm,26.4,Report on Risks of Alternative Long-term Fossil Fuel Demand Estimates,2010
env,Fairfax Financial Holdings,"[126, 126, 125, 413, 157]",[],[],85,,-,Climate Change,2010
env,Federal Realty Investment Trust,"[402, 278, 340, 16, 341]","[321, 172, 45, 47, 48, 50, 39]",[],86,,-,Prepare Sustainability Report,2010
env,Freeport-McMoran Copper & Gold,"[284, 268, 273, 273, 269, 277, 267, 274, 267, 222, 99, 331, 345, 394, 276, 343, 275, 344, 348]",[],"[113, 97, 323, 31, 31, 36, 45, 46]",87,,-,Request Director Nominee with Environmental Qualifications,2010
env,Gentex,[],"[36, 48, 50, 37, 37]",[],88,,-,Prepare Sustainability Report,2010
env,Goldman Sachs Group .,"[284, 268, 273, 273, 269, 277, 267, 274, 267, 222, 331, 394, 113, 275, 344, 348]",[],[],89,,-,Report on Global Warming Science,2010
env,Google,"[284, 268, 273, 273, 269, 278, 267, 274, 267, 222, 99, 331, 394, 16, 341, 341, 276, 275, 344, 348]","[330, 325, 327, 97, 32, 32, 36, 45, 46, 38, 43]","[118, 113, 323]",90,,-,Prepare Sustainability Report,2010
env,Great-West Lifeco,"[126, 126, 125, 413]",[],[],91,,-,Climate Change,2010
env,Hormel Foods,"[274, 113, 97, 26, 26, 45, 47]",[],[],92,,-,Implement Specific Animal Welfare Policies and Practices for Suppliers,2010
env,Research Holdings,[],[],[67],93,,-,Request Director Nominee with Environmental Qualifications,2010
env,International Coal Group,[343],"[326, 37, 52]",[],94,,-,Adopt Quantitative GHG (Greenhouse Gas) (Greenhouse Gas) (Greenhouse Gas) Goals for Products and Operations,2010
env,Jack in The Box,"[278, 37, 37]",[],[],95,,-,Require Suppliers to Adopt CAK (Controlled Atmosphere Killing) (Controlled Atmosphere Killing) (Controlled Atmosphere Killing),2010
env,Kansai Electric Power,"[126, 116, 409, 106, 106, 106, 131, 107, 107, 124, 126]","[160, 161, 162, 174]",[],96,,-,"Amend Articles to Require Pledge to Replace Nuclear Power with Natural Renewable Energy, in Pursuit of Energy Source Sustainability",2010
env,Kroger .,"[281, 274, 345, 344]",[],[],97,,-,Report on Climate Change,2010
env,Las Vegas Sands,"[273, 278, 267, 394, 340, 16, 341, 344, 348]","[36, 45, 46]",[],98,,-,Prepare Sustainability Report,2010
env,Layne Christensen,[],"[326, 37, 52]",[],99,,-,Prepare Sustainability Report,2010
env,Lennar,"[274, 344]","[97, 25, 25, 36, 48, 50, 37, 37, 54, 63]",[],100,,-,Adopt Quantitative GHG (Greenhouse Gas) (Greenhouse Gas) (Greenhouse Gas) Goals for Products and Operations,2010
env,Massey Energy,"[274, 338, 21, 343, 344, 343]","[27, 27, 36, 48, 49, 37, 52, 67, 97]",[],101,,-,Adopt Quantitative GHG (Greenhouse Gas) (Greenhouse Gas) (Greenhouse Gas) goals from Products and Operations,2010
env,Massey Energy,"[274, 338, 21, 343, 344, 343]","[27, 27, 36, 48, 49, 37, 52, 67, 97]",[],102,,-,Report on Implementation of EPA Settlement Reforms and CSR Commitments,2010
env,McDonald's,"[284, 269, 274, 222, 224, 226, 316, 331, 118, 113, 344]","[97, 327, 25, 25, 36, 45, 47, 44]",[323],103,http://www.sec.gov/Archives/edgar/data/63908/000119312510080079/ddef14a.htm,4.32,Adopt Cage-Free Eggs Purchasing Policy,2010
env,McDonald's,"[284, 269, 274, 222, 224, 226, 316, 331, 118, 113, 344]","[97, 327, 25, 25, 36, 45, 47, 44]",[323],104,http://www.sec.gov/Archives/edgar/data/63908/000119312510080079/ddef14a.htm,4.2,Require Suppliers to Adopt CAK (Controlled Atmosphere Killing) (Controlled Atmosphere Killing) (Controlled Atmosphere Killing),2010
env,McDonald's,[],"[391, 404, 395, 333, 17, 317, 293]",[],105,http://www.sec.gov/Archives/edgar/data/63908/000119312510080079/ddef14a.htm,4.32,Shareholder proposal relating to the use of cage-free eggs.,2010
env,MDU Resources Group,[402],"[327, 45, 47]",[],106,,-,Report on Coal Combustion Waste Hazard and Risk Mitigation Efforts,2010
env,MGM Mirage,"[36, 45, 46, 48, 49]",[],[],107,,-,Prepare Sustainability Report,2010
env,MGM Mirage,"[336, 344]","[36, 45, 46, 48, 49]",[],108,,-,Prepare Sustainability Report,2010
env,Mirant,"[99, 276, 344]","[160, 36, 45, 47, 48, 50]",[],109,,-,Adopt Quantitative GHG (Greenhouse Gas) (Greenhouse Gas) (Greenhouse Gas) Goals for Products and Operations,2010
env,O'Charley's,[],[326],[],110,,-,Purchase Poultry from Suppliers Using CAK (Controlled Atmosphere Killing) (Controlled Atmosphere Killing) (Controlled Atmosphere Killing),2010
env,Occidental Petroleum,"[284, 269, 274, 222, 316, 331, 294, 312, 344, 343]","[330, 327, 97, 27, 27, 36, 45, 46, 57]","[113, 323]",111,http://www.sec.gov/Archives/edgar/data/797468/000079746810000026/def14a-2010.htm,5.21,Report on Host Country Social and Environmental Laws,2010
env,PPG Industries,"[284, 269, 274, 222, 331, 344]","[97, 31, 31, 36, 45, 47, 44]","[113, 323]",112,http://www.sec.gov/Archives/edgar/data/79879/000119312510048772/ddef14a.htm,5.78,Report on Community Environmental Impact Disclosure Process,2010
env,R.R. Donnelley & Sons,"[284, 269, 277, 274, 222, 99, 331, 275, 344]","[97, 30, 30, 36, 45, 47, 48, 50, 325, 327, 391, 395, 232, 333, 421, 317, 287]","[118, 323]",113,,-,Stockholder proposal with respect to a sustainable paper purchasing policy.,2010
env,Safeway,"[284, 268, 269, 277, 274, 222, 336, 331, 345, 275, 344, 284, 268, 269, 277, 274, 222, 336, 331, 345, 118, 113, 275, 344, 26, 26, 36, 45, 47, 59, 97, 323]","[97, 26, 26, 36, 45, 47]","[118, 113, 323]",114,http://www.sec.gov/Archives/edgar/data/86144/000119312510074435/ddef14a.htm,1.49,Adopt a Policy in which the Company will not Make or Promise to Make Any Death Benefit Payments to Senior Executives 15 Purchase Poultry from Suppliers Using CAK (Controlled Atmosphere Killing) (Controlled Atmosphere Killing) (Controlled Atmosphere Killing) Share Holder Against Abstain,2010
env,Safeway,"[284, 268, 269, 277, 274, 222, 336, 331, 345, 118, 113, 275, 344]","[391, 404, 395, 333, 314, 97, 26, 26, 36, 45, 47, 59]",[323],115,http://www.sec.gov/Archives/edgar/data/86144/000119312510074435/ddef14a.htm,7.8,Stockholder proposal regarding principles to stop global warming.,2010
env,Southern Company,"[284, 279, 281, 269, 274, 222, 224, 226, 316, 331, 392]",[],[],116,,-,Adopt Quantitative GHG (Greenhouse Gas) (Greenhouse Gas) (Greenhouse Gas) Goals for Products and Operations,2010
env,St. Jude Medical,"[278, 274, 340, 16, 341, 349, 341]","[97, 29, 29, 36, 45, 46]","[118, 323]",117,,-,Prepare Sustainability Report,2010
env,St. Jude Medical,[],"[18, 391, 404, 395, 333, 95]",[],118,,-,To consider and act upon a shareholder proposal regarding sustainability reporting.,2010
env,Standard Pacific,[223],"[326, 37, 37]",[],119,,-,Adopt Quantitative GHG (Greenhouse Gas) (Greenhouse Gas) (Greenhouse Gas) Goals for Products and Operations,2010
env,Starbucks,"[273, 267, 274, 394, 344, 348]","[391, 404, 395, 232, 333, 293, 314, 330, 97, 25, 25, 36, 45, 46]","[118, 113, 323]",120,http://www.sec.gov/Archives/edgar/data/829224/000095012310004400/v54470def14a.htm,11.2,Shareholder proposal regarding recycling strategy for beverage containers,2010
env,Statoil,[320],"[284, 126, 125, 269, 311, 104, 280, 222, 331, 108, 107, 107, 343, 343, 126, 313]",[],121,,-,Withdraw Company From Tar Sands Activities in Canada,2010
env,Suntrust Banks,"[278, 274, 340, 16, 341]","[391, 404, 395, 333, 323, 97, 36, 45, 47, 40]","[118, 113]",122,http://www.sec.gov/Archives/edgar/data/750556/000119312510048999/ddef14a.htm,27.52,Shareholder proposal regarding preparation and disclosure of sustainability report.,2010
